1,44.0,13.0
2,30.0,36.0
2,0.0,26.0
3,100.0,77.0
3,67.0,82.0
1,67.0,41.0
1,74.0,29.0
3,95.0,43.0
1,95.0,10.0
1,81.0,21.0
2,21.0,42.0
2,10.0,19.0
2,28.0,35.0
1,57.0,28.0
1,87.0,24.0
3,82.0,53.0
2,30.0,32.0
2,23.0,52.0
1,69.0,8.0
3,97.0,42.0
2,13.0,30.0
3,99.0,89.0
4,1.0,78.0
2,41.0,36.0
4,48.0,69.0
1,68.0,33.0
4,40.0,99.0
3,94.0,58.0
3,95.0,54.0
3,97.0,95.0
1,80.0,14.0
1,69.0,28.0
3,89.0,79.0
1,60.0,26.0
2,8.0,46.0
3,92.0,96.0
2,10.0,19.0
1,45.0,13.0
3,89.0,57.0
1,71.0,46.0
2,13.0,15.0
2,25.0,48.0
4,17.0,69.0
2,21.0,26.0
4,24.0,97.0
1,57.0,16.0
2,3.0,39.0
2,33.0,2.0
2,6.0,21.0
2,25.0,44.0
1,62.0,33.0
3,96.0,44.0
1,54.0,27.0
4,21.0,95.0
4,27.0,65.0
2,13.0,7.0
1,80.0,22.0
1,77.0,11.0
4,12.0,73.0
3,90.0,48.0
3,92.0,62.0
2,40.0,43.0
3,84.0,64.0
4,60.0,94.0
3,86.0,84.0
1,86.0,6.0
2,32.0,41.0
3,83.0,69.0
3,85.0,100.0
2,12.0,56.0
4,30.0,93.0
1,47.0,19.0
4,20.0,76.0
4,33.0,89.0
2,42.0,23.0
2,32.0,11.0
2,19.0,39.0
3,98.0,86.0
2,20.0,29.0
4,45.0,93.0
4,52.0,93.0
3,80.0,67.0
3,68.0,77.0
2,13.0,33.0
1,59.0,31.0
2,21.0,27.0
2,7.0,18.0
3,99.0,84.0
4,39.0,85.0
4,29.0,68.0
2,39.0,45.0
1,91.0,37.0
3,97.0,49.0
1,56.0,48.0
2,3.0,3.0
1,53.0,56.0
1,64.0,46.0
2,6.0,6.0
3,75.0,75.0
1,64.0,12.0
