2,44.0,13.0
2,30.0,36.0
2,0.0,26.0
1,100.0,77.0
1,67.0,82.0
1,67.0,41.0
1,74.0,29.0
1,95.0,43.0
1,95.0,10.0
1,81.0,21.0
2,21.0,42.0
2,10.0,19.0
2,28.0,35.0
1,57.0,28.0
1,87.0,24.0
1,82.0,53.0
2,30.0,32.0
2,23.0,52.0
1,69.0,8.0
1,97.0,42.0
2,13.0,30.0
1,99.0,89.0
2,1.0,78.0
2,41.0,36.0
1,48.0,69.0
1,68.0,33.0
1,40.0,99.0
1,94.0,58.0
1,95.0,54.0
1,97.0,95.0
1,80.0,14.0
1,69.0,28.0
1,89.0,79.0
1,60.0,26.0
2,8.0,46.0
1,92.0,96.0
2,10.0,19.0
2,45.0,13.0
1,89.0,57.0
1,71.0,46.0
2,13.0,15.0
2,25.0,48.0
2,17.0,69.0
2,21.0,26.0
2,24.0,97.0
2,57.0,16.0
2,3.0,39.0
2,33.0,2.0
2,6.0,21.0
2,25.0,44.0
1,62.0,33.0
1,96.0,44.0
2,54.0,27.0
2,21.0,95.0
2,27.0,65.0
2,13.0,7.0
1,80.0,22.0
1,77.0,11.0
2,12.0,73.0
1,90.0,48.0
1,92.0,62.0
2,40.0,43.0
1,84.0,64.0
1,60.0,94.0
1,86.0,84.0
1,86.0,6.0
2,32.0,41.0
1,83.0,69.0
1,85.0,100.0
2,12.0,56.0
2,30.0,93.0
2,47.0,19.0
2,20.0,76.0
2,33.0,89.0
2,42.0,23.0
2,32.0,11.0
2,19.0,39.0
1,98.0,86.0
2,20.0,29.0
1,45.0,93.0
1,52.0,93.0
1,80.0,67.0
1,68.0,77.0
2,13.0,33.0
1,59.0,31.0
2,21.0,27.0
2,7.0,18.0
1,99.0,84.0
2,39.0,85.0
2,29.0,68.0
2,39.0,45.0
1,91.0,37.0
1,97.0,49.0
1,56.0,48.0
2,3.0,3.0
1,53.0,56.0
1,64.0,46.0
2,6.0,6.0
1,75.0,75.0
1,64.0,12.0
